F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,Label
213.11,93.159,112.33,98.465,64.235,47.578,51.799,214.45,35.376,64.524,111.05,172.33,34.096,169.06,44.582,63.151,180.52,46.841,91.105,39.123,80.89,113.45,95.392,157.29,88.157,78.838,71.849,128.21,15.269,97.179,107.5,1,Corona
191.67,78.856,93.781,59.368,97.209,57.442,181.81,122.48,86.655,41.312,149.84,42.278,33.334,151.11,112.79,146.55,101.58,45.607,6.9815,8.0624,98.983,103.11,152.03,55.608,8.3768,160.49,114,55.884,171.34,139.99,97.81,1,Corona
150.34,46.343,68.966,45.513,79.209,92.169,113.03,37.682,119.73,53.504,36.186,44.728,90.025,79.205,130.17,156.02,52.27,61.377,81.067,8.9564,105.79,89.521,190,89.416,111.96,19.22,93.159,23.271,132.06,83.952,149.87,1,Corona
78.061,116.15,56.646,146.86,111.4,101.49,153.23,229.02,91.363,7.2627,138.43,150.03,259.08,7.7657,7.641,54.493,181.38,93.542,112.76,89.596,11.011,121.76,13.563,71.254,93.675,169.68,57.266,40.204,87.366,69.467,150.89,1,Corona
31.664,74.69,151.67,151.11,124.68,155.11,63.665,101.92,134.04,130.82,235.33,60.076,136.12,87.567,62.915,27.884,168.14,230.38,126.32,44.431,151.15,14.124,93.825,89.268,126.56,103.65,4.2501,141.05,106.63,92.106,40.77,1,Corona
13.11,325.95,79.178,119.47,82.219,72.223,105.89,42.766,77.454,137.48,137.29,156.78,60.835,50.643,27.67,97.895,230.01,112.57,95.326,307.41,61.806,132.17,100.46,85.065,108.32,135.49,67.281,187.42,102.23,162.36,8.4808,1,Corona
4.6971,95.665,92.532,194.52,197.48,103.6,40.152,69.36,70.716,40.618,69.967,64.096,184.72,69.409,37.962,59.366,112.23,129.83,142.41,39.453,36.424,105.21,204.56,27.233,115.25,94.242,68.088,58.737,4.682,73.808,195.75,1,Corona
114.82,81.695,29.04,174.49,184.76,113.37,147.07,187.41,167.24,141.97,124.18,148.31,135.19,133.67,35.964,55.757,82.253,142.42,46.256,97.855,93.381,79.136,127.88,154.02,135.09,118.14,100.79,75.756,153.27,111,104.51,1,Corona
59.53,90.498,64.621,136.52,92.774,57.356,97.58,74.301,16.801,157.74,112.78,31.061,14.694,21.885,76.533,51.266,76.303,25.327,80.272,64.007,78.802,32.907,64.94,129.15,122.61,68.806,19.093,139.2,54.094,69.924,100.9,1,Corona
86.906,140.37,156.62,119.39,68.907,47.184,101.33,75.46,90.119,150.86,100.12,104.76,78.482,155.3,45.854,129.35,57.014,159.2,201.9,160.7,91.844,202.18,181.53,95.373,95.153,155.05,192.46,128.73,169.06,76.776,192.77,1,Corona
128.83,198.31,153.12,81.98,145.51,6.2512,118.37,183.86,113.04,132.98,164.51,123.23,56.928,141.77,155.19,145.4,128.15,181.64,115.71,35.87,58.665,142.41,179.41,49.234,106.74,119.78,105.69,127.13,15.047,84.702,161.63,1,Corona
42.004,137.61,327.36,257.68,79.443,176.72,40.682,175.59,52.81,199.32,186.34,262.55,139.74,195.07,166.02,142.57,49.337,154.8,165.82,71.089,242.75,114.5,299.09,82.614,112.69,246.62,64.656,84.549,201.34,190.87,190.96,1,Corona
30.595,133.75,122.67,228.57,168.17,203.63,205.07,116.83,110.45,73.37,183.46,156.94,84.119,46.772,137.22,172.98,159.39,199.53,24.57,125.76,230.47,77.573,175,50.925,132.92,99.432,145.36,15.357,90.232,89.962,66.422,1,Corona
124.23,114.29,245.71,205.58,87.811,69.595,166.98,199.46,24.19,173.63,116.48,135.34,121.54,109.6,203.44,305.99,159.47,71.469,102.35,205.77,148.88,171.6,79.57,185,145.88,143.17,125.53,218.44,60.346,142.7,208.11,1,Corona
62.622,39.041,166.74,124.61,149.09,158.75,68.272,31.95,113.13,181.77,178.36,51.637,55.643,153.51,102.85,128.52,116.05,167.13,45.258,117.4,95.285,55.147,90.593,161.53,73.749,92.512,86.87,114.83,145.65,157.5,141.22,1,Corona
29.405,92.348,73.756,115.14,377.65,170.87,86.033,183.59,172.87,94.077,47.049,142.87,201.26,189.89,233.36,163.59,165.88,180.24,43.263,205.47,165.48,160.85,151.39,203.3,322.27,100.88,61.035,320.29,81.278,52.158,154.03,1,Corona
84.216,76.499,59.413,360.09,224.36,197.94,51.297,249.88,93.372,252.17,184.08,103.2,112.42,110.82,88.131,68.98,253.13,230.95,35.849,141.06,319.69,188.61,122.33,319.77,58.582,128.08,175.39,110.51,181.31,64.34,120.05,1,Corona
1.0191,264.51,185.87,105.98,205.47,70.097,137.35,57.608,59.838,159.95,195.33,182.8,145.69,121.02,123.27,154.39,181.92,137.75,164.21,85.551,45.837,227.87,103.8,47.78,117.94,135.28,118.66,158.65,79.575,147.38,68.083,1,Corona
177.65,188.31,71.306,234.01,137.59,339.71,305.73,217.51,253.1,171.08,151.4,277.53,386.9,221.77,258.71,170.66,171.31,96.354,262.77,281.67,221.9,160.32,205.84,268.41,54.482,33.905,217.76,350.07,110.75,81.543,179.6,1,Corona
38.756,52.956,51.067,12.417,31.907,11.423,24.09,15.756,12.288,29.483,22.422,22.525,13.339,17.966,35.23,6.8726,11.167,35.002,13.492,41.537,27.749,17.567,42.542,22.573,3.2793,42.732,29.186,4.2327,19.843,17.853,15.341,1,Corona
288.65,264.06,54.757,210.64,40.171,172.86,288.4,149.49,81.338,110.35,70.538,142.03,129.62,340.86,138.11,150.95,131.15,197.6,44.911,122.09,288.87,46.166,17.797,255.68,264.05,58.394,180.79,207.37,209.87,96.354,268.03,1,Corona
44.13,11.585,8.0805,5.5058,58.907,34.329,24.308,23.154,16.528,4.4264,17.254,17.669,19.754,32.108,57.342,12.602,24.506,50.328,12.756,31.334,22.96,45.598,32.229,27.856,6.7798,21.913,37.788,38.245,14.714,11.003,10.494,1,Corona
9.2535,53.61,27.597,23.196,25.507,40.933,32.785,34.3,41.804,53.131,20.268,4.1996,30.98,9.7326,31.387,16.796,51.888,52.248,37.873,27.024,63.435,25.069,44.554,2.8015,18.636,8.0028,29.464,26.001,52.099,27.19,11.144,1,Corona
10.527,3.5421,15.554,3.682,13.67,19.07,9.425,21.918,12.547,6.3815,9.7019,10.076,10.283,7.1913,8.4907,2.454,8.8473,6.4977,15.775,16.444,10.115,12.155,15.762,10.659,6.9221,17.628,17.502,10.908,12.438,7.8999,5.2812,2,Surface
5.442,4.6091,5.0375,13.389,6.4743,2.2656,9.5375,8.7317,11.264,9.2486,9.3065,5.2819,7.197,7.3216,13.098,13.628,14.655,12.286,11.686,3.8086,13.139,13.091,8.6859,20.846,16.613,10.146,2.1116,17.093,5.7492,7.4926,16.863,2,Surface
18.44,2.1454,6.1211,11.101,14.155,16.055,6.2332,0.57112,7.616,2.664,14.131,4.9188,15.783,15.288,8.3977,12.642,17.889,13.969,10.07,10.543,8.2731,8.3115,10.095,6.191,15.02,4.4003,8.3838,11.45,3.1488,10.834,6.9411,2,Surface
6.9207,11.084,9.6095,18.053,0.90925,11.216,7.8754,17.713,9.7621,3.4243,11.486,13.701,2.9948,15.451,5.6397,14.022,5.6224,20.704,3.8221,12.524,8.7102,17.012,3.3632,1.8457,12.61,10.779,8.4086,6.522,20.621,9.8124,21.952,2,Surface
7.4904,3.4967,6.9545,11.874,7.1716,11.123,17.606,9.9344,10.933,6.4844,10.468,11.117,3.8695,18.126,11.483,13.62,6.7115,10.822,16.228,14.431,12.868,18.068,14.553,7.0722,6.4478,8.4861,6.255,11.888,8.8191,10.206,8.3449,2,Surface
